

Week,Atlanta Hawks: (United States)
2017-01-01,50
2017-01-08,48
2017-01-15,43
2017-01-22,42
2017-01-29,50
2017-02-05,36
2017-02-12,28
2017-02-19,35
2017-02-26,45
2017-03-05,45
2017-03-12,34
2017-03-19,29
2017-03-26,29
2017-04-02,40
2017-04-09,60
2017-04-16,83
2017-04-23,100
2017-04-30,20
2017-05-07,14
2017-05-14,14
2017-05-21,15
2017-05-28,13
2017-06-04,12
2017-06-11,14
2017-06-18,31
2017-06-25,22
2017-07-02,41
2017-07-09,27
2017-07-16,18
2017-07-23,17
2017-07-30,14
2017-08-06,11
2017-08-13,13
2017-08-20,11
2017-08-27,10
2017-09-03,10
2017-09-10,11
2017-09-17,12
2017-09-24,16
2017-10-01,27
2017-10-08,22
2017-10-15,30
2017-10-22,34
2017-10-29,29
2017-11-05,40
2017-11-12,31
2017-11-19,34
2017-11-26,30
2017-12-03,20
2017-12-10,29
2017-12-17,28
2017-12-24,29
2017-12-31,25
2018-01-07,28
2018-01-14,27
2018-01-21,28
2018-01-28,28
2018-02-04,37
2018-02-11,23
2018-02-18,18
2018-02-25,30
2018-03-04,21
2018-03-11,24
2018-03-18,25
2018-03-25,25
2018-04-01,21
2018-04-08,22
