Week;Los Angeles Clippers: (United States)
2016-10-30;37
2016-11-06;34
2016-11-13;46
2016-11-20;45
2016-11-27;43
2016-12-04;42
2016-12-11;28
2016-12-18;31
2016-12-25;39
2017-01-01;26
2017-01-08;24
2017-01-15;30
2017-01-22;30
2017-01-29;45
2017-02-05;28
2017-02-12;21
2017-02-19;35
2017-02-26;27
2017-03-05;26
2017-03-12;23
2017-03-19;31
2017-03-26;26
2017-04-02;19
2017-04-09;37
2017-04-16;73
2017-04-23;100
2017-04-30;70
2017-05-07;13
2017-05-14;13
2017-05-21;11
2017-05-28;12
2017-06-04;13
2017-06-11;18
2017-06-18;26
2017-06-25;33
2017-07-02;40
2017-07-09;20
2017-07-16;17
2017-07-23;16
2017-07-30;13
2017-08-06;14
2017-08-13;13
2017-08-20;10
2017-08-27;9
2017-09-03;10
2017-09-10;9
2017-09-17;10
2017-09-24;13
2017-10-01;17
2017-10-08;19
2017-10-15;39
2017-10-22;32
2017-10-29;34
2017-11-05;23
2017-11-12;25
2017-11-19;22
2017-11-26;25
2017-12-03;18
2017-12-10;20
2017-12-17;22
2017-12-24;22
2017-12-31;29
2018-01-07;30
2018-01-14;51
2018-01-21;26
2018-01-28;46
2018-02-04;29
2018-02-11;21
2018-02-18;20
2018-02-25;26
2018-03-04;27
2018-03-11;23
2018-03-18;20
2018-03-25;22
2018-04-01;22
2018-04-08;20
